"label","subdistrict_id"
"Arut Selatan, Kabupaten Kotawaringin Barat, Kalimantan Tengah","2874"
"Arut Utara, Kabupaten Kotawaringin Barat, Kalimantan Tengah","2875"
"Asakota, Kota Bima, Nusa Tenggara Barat (NTB)","929"
"Asam Jujuhan, Kabupaten Dharmasraya, Sumatera Barat","1588"
"Asembagus, Kabupaten Situbondo, Jawa Timur","5763"
"Asemrowo, Kota Surabaya, Jawa Timur","6131"
"Asera, Kabupaten Konawe Utara, Sulawesi Tenggara","2840"
"Asinua, Kabupaten Konawe, Sulawesi Tenggara","2790"
"Asologaima (Asalogaima), Kabupaten Jayawijaya, Papua","2161"
"Asolokobal, Kabupaten Jayawijaya, Papua","2162"
"Asotipo, Kabupaten Jayawijaya, Papua","2163"
"Asparaga, Kabupaten Gorontalo, Gorontalo","1771"
"Assue, Kabupaten Mappi, Papua","3847"
"Astambul, Kabupaten Banjar, Kalimantan Selatan","478"
"Astana Anyar, Kota Bandung, Jawa Barat","341"
"Astanajapura, Kabupaten Cirebon, Jawa Barat","1473"
"Atadei, Kabupaten Lembata, Nusa Tenggara Timur (NTT)","3338"
"Atambua Barat, Kabupaten Belu, Nusa Tenggara Timur (NTT)","773"
"Atambua Kota, Kabupaten Belu, Nusa Tenggara Timur (NTT)","774"
"Atambua Selatan, Kabupaten Belu, Nusa Tenggara Timur (NTT)","775"
"Atinggola, Kabupaten Gorontalo Utara, Gorontalo","1800"
"Atsy / Atsj, Kabupaten Asmat, Papua","241"
"Atu Lintang, Kabupaten Aceh Tengah, Nanggroe Aceh Darussalam (NAD)","95"
"Aur Birugo Tigo Baleh, Kota Bukittinggi, Sumatera Barat","1276"
"Awan Rante Karua, Kabupaten Toraja Utara, Sulawesi Selatan","6738"
"Awang, Kabupaten Barito Timur, Kalimantan Tengah","647"
"Awangpone, Kabupaten Bone, Sulawesi Selatan","1174"
"Awayan, Kabupaten Balangan, Kalimantan Selatan","264"
"Aweku, Kabupaten Tolikara, Papua","6689"
"Awinbon, Kabupaten Pegunungan Bintang, Papua","4859"
"Ayah, Kabupaten Kebumen, Jawa Tengah","2474"
"Ayamaru Barat, Kabupaten Maybrat, Papua Barat","3895"
"Ayamaru Jaya, Kabupaten Maybrat, Papua Barat","3896"
"Ayamaru Selatan Jaya, Kabupaten Maybrat, Papua Barat","3898"
"Ayamaru Selatan, Kabupaten Maybrat, Papua Barat","3897"
"Ayamaru Tengah, Kabupaten Maybrat, Papua Barat","3899"
"Ayamaru Timur Selatan, Kabupaten Maybrat, Papua Barat","3901"
"Ayamaru Timur, Kabupaten Maybrat, Papua Barat","3900"
"Ayamaru Utara Timur, Kabupaten Maybrat, Papua Barat","3903"
"Ayamaru Utara, Kabupaten Maybrat, Papua Barat","3902"
"Ayamaru, Kabupaten Maybrat, Papua Barat","3894"
"Ayau, Kabupaten Raja Ampat, Papua Barat","5250"
"Ayip, Kabupaten Asmat, Papua","242"
"Baamang, Kabupaten Kotawaringin Timur, Kalimantan Tengah","2881"
"Babadan, Kabupaten Ponorogo, Jawa Timur","5071"
"Babah Rot, Kabupaten Aceh Barat Daya, Nanggroe Aceh Darussalam (NAD)","13"
"Babakan Ciparay, Kota Bandung, Jawa Barat","342"
"Babakan Madang, Kabupaten Bogor, Jawa Barat","1022"
